"","ETH.group","year","sex","births"
"573","OTH","2058","person",7338.90518172388
"574","PAK","2058","person",86624.7820713175
"575","WBI","2058","person",453334.258455432
"576","WHO","2058","person",48190.8871210473
"577","BAN","2059","person",26048.5781533394
"578","BLA","2059","person",37536.8221704923
"579","BLC","2059","person",5620.79726160013
"580","CHI","2059","person",12198.4490178691
"581","IND","2059","person",47423.3331638864
"582","MIX","2059","person",62293.4540270207
"583","OAS","2059","person",24061.4389312697
"584","OBL","2059","person",5788.12466925721
"585","OTH","2059","person",7341.09481331718
"586","PAK","2059","person",88281.1113382296
"587","WBI","2059","person",452937.180211491
"588","WHO","2059","person",48338.2402053635
"589","BAN","2060","person",26308.2998252988
"590","BLA","2060","person",37557.5512196743
"591","BLC","2060","person",5618.01304253939
"592","CHI","2060","person",12189.8667081993
"593","IND","2060","person",47822.4352544474
"594","MIX","2060","person",62604.3212941425
"595","OAS","2060","person",24215.6960127172
"596","OBL","2060","person",5803.51013853125
"597","OTH","2060","person",7340.53701302352
"598","PAK","2060","person",89963.4454922752
"599","WBI","2060","person",452585.739325677
"600","WHO","2060","person",48478.290596718
"601","BAN","2011","M",6646.3474491392
"602","BLA","2011","M",10872.9770013065
"603","BLC","2011","M",3319.31232793565
"604","CHI","2011","M",2272.933342917
"605","IND","2011","M",13750.3407311786
"606","MIX","2011","M",18895.8290083135
"607","OAS","2011","M",7020.62405898712
"608","OBL","2011","M",1963.84377322177
"609","OTH","2011","M",2411.88192036658
"610","PAK","2011","M",17090.8915414181
"611","WBI","2011","M",258931.534334219
"612","WHO","2011","M",15261.9636382431
"613","BAN","2012","M",6575.29425564221
"614","BLA","2012","M",10797.7763889976
"615","BLC","2012","M",3213.46115218706
"616","CHI","2012","M",2447.38810451495
"617","IND","2012","M",13719.7269033257
"618","MIX","2012","M",18871.7998275197
"619","OAS","2012","M",6970.59329324144
"620","OBL","2012","M",1938.5399788934
"621","OTH","2012","M",2433.97503196929
"622","PAK","2012","M",16993.8451723447
"623","WBI","2012","M",253240.070493217
"624","WHO","2012","M",15387.3957271666
"625","BAN","2013","M",6478.32081088667
"626","BLA","2013","M",10685.6362912145
"627","BLC","2013","M",3096.82995677783
"628","CHI","2013","M",2629.78894049411
"629","IND","2013","M",13627.5278942096
"630","MIX","2013","M",18777.9167284995
"631","OAS","2013","M",6906.96781925118
"632","OBL","2013","M",1908.22519361239
"633","OTH","2013","M",2448.85693140148
"634","PAK","2013","M",16843.0396510376
"635","WBI","2013","M",246433.268047109
"636","WHO","2013","M",15453.8611130875
"637","BAN","2014","M",6554.57919195967
"638","BLA","2014","M",10871.311083674
"639","BLC","2014","M",3061.72109863
"640","CHI","2014","M",2903.39282626988
"641","IND","2014","M",13913.7311818353
"642","MIX","2014","M",19194.4496998143
"643","OAS","2014","M",7051.72486170956
"644","OBL","2014","M",1931.96642645778
"645","OTH","2014","M",2535.8172063438
"646","PAK","2014","M",17163.3300671522
"647","WBI","2014","M",245729.398660738
"648","WHO","2014","M",15974.7479497758
"649","BAN","2015","M",6669.3868480756
"650","BLA","2015","M",11111.729787912
"651","BLC","2015","M",3044.94136147021
"652","CHI","2015","M",3195.76217507099
"653","IND","2015","M",14243.5742909311
"654","MIX","2015","M",19702.5267781204
"655","OAS","2015","M",7234.04041596466
"656","OBL","2015","M",1968.58955863745
"657","OTH","2015","M",2633.81075722213
"658","PAK","2015","M",17582.4393688921
"659","WBI","2015","M",246204.18808907
"660","WHO","2015","M",16540.180774745
"661","BAN","2016","M",6801.12325700447
"662","BLA","2016","M",11362.1674463871
"663","BLC","2016","M",3036.84111368327
"664","CHI","2016","M",3482.38802924378
"665","IND","2016","M",14543.5474255188
"666","MIX","2016","M",20218.3763393455
"667","OAS","2016","M",7413.72403512402
"668","OBL","2016","M",2011.08723477368
"669","OTH","2016","M",2728.21697921775
"670","PAK","2016","M",18034.1611427255
"671","WBI","2016","M",247129.159559149
"672","WHO","2016","M",17046.0562951983
"673","BAN","2017","M",6932.13788402872
"674","BLA","2017","M",11600.8940267387
"675","BLC","2017","M",3027.15171548777
"676","CHI","2017","M",3755.87272361013
"677","IND","2017","M",14799.0968362022
"678","MIX","2017","M",20694.9461144485
"679","OAS","2017","M",7581.53331233243
"680","OBL","2017","M",2054.53019277955
"681","OTH","2017","M",2815.75668150962
"682","PAK","2017","M",18483.4460388033
"683","WBI","2017","M",247616.115404243
"684","WHO","2017","M",17487.936079909
"685","BAN","2018","M",7058.36143349618
"686","BLA","2018","M",11824.0924807866
"687","BLC","2018","M",3014.54721736246
"688","CHI","2018","M",4008.82895572789
"689","IND","2018","M",15005.93820532
"690","MIX","2018","M",21119.7873456933
"691","OAS","2018","M",7733.54560969183
"692","OBL","2018","M",2097.75206918062
"693","OTH","2018","M",2895.3078118719
"694","PAK","2018","M",18921.9866497367
"695","WBI","2018","M",247521.467639809
"696","WHO","2018","M",17860.8411270932
"697","BAN","2019","M",7186.46535011083
"698","BLA","2019","M",12046.1890557098
"699","BLC","2019","M",3002.34230644442
"700","CHI","2019","M",4238.36633424201
"701","IND","2019","M",15179.4953629385
"702","MIX","2019","M",21511.1224086729
"703","OAS","2019","M",7875.2709871428
"704","OBL","2019","M",2142.86044297535
